Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2024;33.794.064;299.943.326;794.808.893;777.050.283;-48.940.346;728.109.937;7.737.843;298.650;41.755;-231.200;7.847.048;463.792.897;245.784.861;62.843.236;2.636.924.261;41.755;2.636.882.506
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2024;25.772.409;413.301.576;582.002.562;923.843.805;-57.024.023;866.819.782;51.708;650.520;212.973;-6.654;908.547;265.209.373;135.125.124;45.441.542;2.334.580.916;212.973;2.334.367.943
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2024;10.256.867;184.470.736;292.985.948;1.160.521.767;-49.638.797;1.110.882.970;0;0;0;0;0;113.985.276;177.227.296;17.234.914;1.907.044.008;0;1.907.044.008
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2024;18.038.981;212.904.369;412.337.788;558.020.421;-46.182.154;511.838.267;158.324;8.159.681;3.161.356;-50.273;11.429.088;294.434.971;155.551.423;69.043.904;1.685.578.789;3.161.356;1.682.417.433
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2024;11.043.535;121.388.577;296.997.125;450.798.263;-32.535.721;418.262.543;3.091;5.530.116;2.353.200;-28.017;7.858.390;251.728.751;146.071.105;28.023.483;1.281.373.508;2.353.200;1.279.020.308
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2024;340.412;39.150.952;210.439.144;320.382.795;-9.370.261;311.012.534;0;0;0;0;0;20.364.261;194.626.799;2.067.261;778.001.363;0;778.001.363
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2024;4.141.165;66.095.305;245.708.751;122.198.683;-4.740.445;117.458.237;0;169;0;0;169;93.688.922;36.941.132;18.229.870;582.263.551;0;582.263.551
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2024;2.678.515;42.808.373;81.894.861;101.164.790;-4.681.733;96.483.057;18.508;3.213.081;917.377;-19.990;4.128.976;29.307.051;28.820.097;9.720.327;295.841.257;917.377;294.923.881
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;06/2024;2.047.658;22.836.448;138.191.176;19.361.456;-310.801;19.050.655;0;0;0;0;0;34.686.940;9.116.379;3.676.018;229.605.274;0;229.605.274
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;06/2024;123.293;545.407;43.541.906;52.728.253;-8.784.123;43.944.131;0;0;0;0;0;51.535.685;72.884.518;1.925.711;214.500.650;0;214.500.650
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2024;2.001.783;40.175.063;76.667.497;16.285.909;-298.882;15.987.027;30;668;25;-56;667;49.687.633;23.607.451;608.391;208.735.513;25;208.735.489
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;06/2024;522.061;13.880.628;40.426.571;31.139.045;-29.292;31.109.753;0;0;0;0;0;13.308.693;73.499.824;101.635;172.849.164;0;172.849.164
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;06/2024;59.538;37.825.495;37.288.512;15.295.525;-297.793;14.997.732;0;0;0;0;0;13.409.022;41.769.013;676.886;146.026.198;0;146.026.198
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;06/2024;60.569;21.466.499;56.302.681;2.246.729;-3.579;2.243.149;0;0;0;0;0;24.120.036;36.087.176;92.459;140.372.569;0;140.372.569
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;06/2024;1.174.321;4.074.999;55.947.710;50.671.084;-2.490.888;48.180.197;53;29.017;22.316;-44;51.341;10.158.595;15.023.082;1.692.802;136.303.047;22.316;136.280.732
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2024;215.058;4.422.469;41.608.922;67.728.228;-4.843.431;62.884.798;56;34.103;2.007;-198;35.968;18.094.805;4.246.117;2.592.601;134.100.737;2.007;134.098.730
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;06/2024;10.981;47.473;1.103.423;888.418;-35.526;852.893;0;0;0;0;0;3.694.408;85.296.427;9.533.390;100.538.995;0;100.538.995
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;06/2024;470.747;5.515.060;19.908.798;4.645.806;-267.466;4.378.340;0;0;0;0;0;61.266.301;56.803;86.926;91.682.975;0;91.682.975
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;06/2024;587.565;1.583.054;29.557.228;39.765.390;-1.868.930;37.896.460;0;0;0;0;0;12.861.839;2.632.205;933.330;86.051.680;0;86.051.680
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;06/2024;529.769;5.174.781;20.230.640;32.985.925;-1.577.720;31.408.205;38.196;3.932.721;936.665;-32.123;4.875.459;17.325.938;1.789.168;1.288.907;82.622.866;936.665;81.686.201
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;06/2024;124.373;4.517.294;44.043.159;13.058.011;-589.755;12.468.256;0;0;0;0;0;5.614.005;1.064.860;416.633;68.248.581;0;68.248.581
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;06/2024;436.112;5.336.253;28.191.742;18.384.315;-390.215;17.994.100;0;0;0;0;0;14.551.169;829.195;264.482;67.603.052;0;67.603.052
