Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);Títulos e Valores Mobiliários (c);Instrumentos Derivativos (d);Operações de Crédito;;;;;Operações de Arrendamento Financeiro;;;;Outras Operações com Características de Concessão de Crédito;;;;;Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago);;;Outros Ativos Realizáveis (i);Ativo Permanente (j);Ativo Total (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);
;;;;;;;;;;;;;Valor Contábil Bruto (e1);Perda Esperada (e2);Hedge de Valor Justo (e3);Ajuste a Valor Justo (e4);Operações de Crédito (e);Valor Contábil Bruto (f1);Perda Esperada (f2);Hedge de Valor Justo (f3);Operações de Arrendamento Financeiro (f);Valor Contábil Bruto (g1);Perda Esperada (g2);Hedge de Valor Justo (g3);Ajuste a Valor Justo (g4);Outras Operações com Características de Concessão de Crédito (g);Valor Contábil Bruto (h1);Perda Esperada (h2);Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago) (h);;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2025;32.126.447;273.802.859;571.156.690;73.569.661;833.544.797;-43.000.061;428.729;0;790.973.465;7.782.383;-244.543;0;7.537.840;229.544.095;-5.364.009;353.239;-533;224.532.794;131.182.465;-4.214.867;126.967.598;407.317.535;57.445.440;2.565.430.329
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2025;24.467.955;290.601.491;603.299.224;5.580.432;1.008.853.720;-82.129.853;-1.270;0;926.722.597;931.050;-13.842;0;917.208;149.272.871;-6.189.754;0;0;143.083.117;57.096.428;-893.120;56.203.307;336.944.292;50.745.911;2.438.565.535
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2025;8.754.369;203.166.124;377.792.547;99;1.277.380.757;-54.663.254;-526.448;0;1.222.191.055;0;0;0;0;2.148.685;-228.954;0;0;1.919.731;15.088.913;0;15.088.913;270.314.490;18.886.946;2.118.114.274
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2025;16.376.012;223.000.363;271.186.088;18.975.677;644.633.847;-47.846.519;0;0;596.787.328;6.936.792;-113.205;0;6.823.587;164.335.674;-6.963.455;0;81.862;157.454.081;63.653.811;-1.797.558;61.856.253;311.360.144;75.321.817;1.739.141.349
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2025;13.029.438;145.214.270;246.874.829;37.158.717;450.592.046;-36.113.386;166.865;0;414.645.525;3.278.954;-23.163;0;3.255.791;62.773.087;-2.018.836;0;0;60.754.251;51.026.973;-827.103;50.199.870;256.469.253;28.482.875;1.256.084.821
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2025;23.755;60.182.408;209.235.947;2.248.692;338.407.128;-7.854.878;156.501;0;330.708.751;0;0;0;0;45.038.878;-4.899.483;0;0;40.139.394;0;0;0;242.777.294;2.321.591;887.637.832
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2025;3.565.547;66.786.477;172.300.959;56.848.808;143.621.644;-9.351.840;-669.338;0;133.600.466;104.059;0;0;104.059;49.545.093;-1.363.086;-1.384;0;48.180.623;4.479.915;-253.453;4.226.462;94.575.035;25.360.699;605.549.134
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;06/2025;8.233.133;12.524.313;150.928.141;34.715.044;22.554.456;-363.259;0;218;22.191.416;0;0;0;0;6.826.104;-23.106;-11.264;0;6.791.735;7.862.424;-76.286;7.786.138;23.859.040;7.534.377;274.563.338
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;3;SAO PAULO;SP;06/2025;506.228;644.215;57.359.968;502.683;88.754.820;-30.745.169;0;0;58.009.651;0;0;0;0;0;0;0;0;0;61.079.779;-4.370.135;56.709.644;93.728.909;2.201.891;269.663.189
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2025;3.217.139;16.510.880;62.359.112;8.403.233;94.690.934;-5.249.278;-692.562;0;88.749.094;2.879.090;-133.337;-9.597;2.736.156;42.625.978;-708.430;-46.155;0;41.871.393;846.664;-31.307;815.356;35.357.126;6.056.338;266.075.827
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;06/2025;520.013;9.071.593;53.305.627;207.605;41.117.201;-37.952;0;0;41.079.249;0;0;0;0;1.034.659;-63;0;0;1.034.595;0;0;0;106.461.325;108.363;211.788.369
BANCO SICOOB - PRUDENCIAL;1000080879;b1;S2;C;2;BRASILIA;DF;06/2025;97.432;54.571.471;42.208.464;2.859;21.190.505;-288.554;0;0;20.901.951;0;0;0;0;1.540.020;-11.141;0;0;1.528.879;14.640.488;-137.800;14.502.688;54.126.373;771.748;188.711.865
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2025;4.503.922;44.973.619;48.583.075;18.559.741;16.956.566;-576.984;0;0;16.379.582;34;0;0;34;14.371.580;-321.416;0;0;14.050.163;305.931;-9.423;296.508;40.773.583;530.590;188.650.817
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;06/2025;1.316.610;3.266.590;65.872.913;92.077;59.119.333;-3.237.003;0;0;55.882.330;6.503;-85;0;6.419;2.893.148;-74.837;0;0;2.818.312;1.999.291;-80.117;1.919.174;23.354.068;1.751.140;156.279.631
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2025;217.093;8.463.489;41.968.327;4.808.428;68.697.577;-8.587.919;-445.691;217;59.664.183;57.571;-221;0;57.350;10.047.190;-196.217;0;7.697;9.858.670;3.353.948;-240.473;3.113.475;17.312.166;2.490.970;147.954.152
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;06/2025;1.265.183;2.074.658;35.200.638;295.184;58.371.099;-3.515.922;-540.760;0;54.314.417;0;0;0;0;10.841.126;-38.348;5.027;0;10.807.805;9.312.363;-149.057;9.163.306;12.540.122;1.059.814;126.721.126
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;06/2025;19.187;393.214;1.103.034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99.173.430;9.118.651;109.807.516
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;06/2025;1.043.845;5.066.500;16.508.415;188.356;35.184.021;-2.074.902;-138.453;0;32.970.666;3.371.682;-58.662;-9.875;3.303.145;18.555.749;-296.983;0;0;18.258.766;92.518;-1.145;91.373;6.959.661;1.740.077;86.130.804
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;C;3;OSASCO;SP;06/2025;397.930;500.000;21.560.245;21.602;11.769.323;-5.782.926;0;0;5.986.397;0;0;0;0;0;0;0;0;0;13.566.153;-992.762;12.573.391;43.181.948;658.326;84.879.838
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;06/2025;250.270;18.130.833;30.200.775;6.313.526;2.022.699;-13.635;0;0;2.009.064;0;0;0;0;738.901;-1.244;0;0;737.658;0;0;0;25.752.928;126.903;83.521.957
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;06/2025;785.955;4.446.037;23.388.825;691;27.134.382;-2.015.533;-294.610;-119;24.824.120;0;0;0;0;1.780.520;-19.151;0;0;1.761.369;10.406.144;-446.897;9.959.246;15.380.095;2.218.932;82.765.269
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;06/2025;246.823;2.583.061;7.434.871;2;57.666.661;-1.079.364;0;0;56.587.297;0;0;0;0;373.695;-613;0;0;373.082;1.682.606;-51.426;1.631.180;6.078.644;1.211.535;76.146.494
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;06/2025;149.380;4.286.492;44.604.832;75.362;18.404.293;-793.863;0;0;17.610.429;0;0;0;0;591.354;-93.539;0;0;497.815;40.442;-1.104;39.338;6.619.994;579.678;74.463.320
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;C;2;SAO PAULO;SP;06/2025;54.125;71;738.274;42;2.877.081;-51.813;-19.040;0;2.806.227;0;0;0;0;0;0;0;0;0;575.742;-29.092;546.650;62.051.346;5.742.069;71.938.806
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;06/2025;572.853;4.611.537;27.097.527;5.657.312;15.776.206;-313.918;0;0;15.462.288;0;0;0;0;5.003.811;-300.049;0;0;4.703.762;0;0;0;6.058.881;274.116;64.438.276
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;06/2025;49.071;1.329.265;21.600.065;0;35.215.201;-2.162.257;0;0;33.052.944;0;0;0;0;53.394;-9.502;0;0;43.892;0;0;0;2.794.902;241.869;59.112.008
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;06/2025;216.998;599.983;15.270;359.911;47.079.192;-2.455.564;0;0;44.623.628;56.602;-1.010;0;55.592;3.362.653;-3.329;0;0;3.359.324;0;0;0;7.372.222;48.426;56.651.353
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;06/2025;181.031;7.207.516;5.390.165;2.198.914;28.601.231;-609.352;0;0;27.991.879;0;0;0;0;10.324.278;-49.006;0;-33.123;10.242.149;0;0;0;346.914;101.892;53.660.460
STONE IP - PRUDENCIAL;1000084686;n1;S4;C;3;SAO PAULO;SP;06/2025;2.726.239;99.036;600.245;101;1.645.931;-221.634;0;0;1.424.298;0;0;0;0;0;0;0;0;0;165.686;-10.017;155.669;42.213.440;1.759.840;48.978.868
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;06/2025;525.539;43.347;13.590.110;229.881;23.534.322;-1.911.516;-18.702;0;21.604.104;0;0;0;0;546.207;-1.644;0;0;544.563;706.780;-58.347;648.433;8.774.931;1.659.766;47.620.675
