Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWAdrc (g6);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6);;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;1;C;2;SAO PAULO;SP;09/2024;178.323.617;20.764.577;199.088.194;28.161.562;227.249.756;1.148.317.547;8.640.449;4.175.292;16.732.906;10.292.140;1.693.400;1.948.798;43.482.985;112.827.472;0;1.304.628.004;2.726.099.355;13,67%;15,26%;17,42%;46.416.870;7,30%;18,54%
BB - PRUDENCIAL;1000080329;b1;S1;1;C;1;BRASILIA;DF;09/2024;149.177.576;21.995.183;171.172.759;14.668.449;185.841.208;1.027.515.392;16.446.244;4.082.667;10.423.857;21.251;6.123.070;4.186.824;41.283.913;198.638.414;0;1.267.437.719;2.463.523.262;11,77%;13,51%;14,66%;44.360.320;6,95%;17,37%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;1;C;2;OSASCO;SP;09/2024;112.401.276;14.809.515;127.210.791;23.979.436;151.190.227;880.158.816;2.589.411;750.673;10.021.356;1.818.385;9.813.468;2.555.220;27.548.512;93.224.674;0;1.000.932.001;1.815.707.144;11,23%;12,71%;15,10%;35.032.620;7,01%;24,95%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;1;C;1;BRASILIA;DF;09/2024;113.089.776;1.713.241;114.803.017;16.172.871;130.975.889;718.664.917;251.927;0;5.323.690;12.120;0;275.653;5.863.390;83.763.061;0;808.291.368;2.142.172.155;13,99%;14,20%;16,20%;28.290.198;5,36%;9,68%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;1;C;2;SAO PAULO;SP;09/2024;75.122.783;14.824.025;89.946.809;14.938.149;104.884.958;585.031.951;7.840.350;1.154.456;19.237.663;4.338.083;10.359.202;1.077.353;44.007.107;60.643.284;0;689.682.342;1.175.697.406;10,89%;13,04%;15,21%;24.138.882;7,65%;19,05%
BNDES - PRUDENCIAL;1000081847;b4;S2;;C;1;RIO DE JANEIRO;RJ;09/2024;175.762.125;0;175.762.125;26.339.492;202.101.617;545.910.850;11.755.714;0;4.188.452;0;1.209.859;0;17.154.026;70.317.751;0;633.382.626;941.554.801;27,75%;27,75%;31,91%;15.840.104;18,67%;1,03%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;1;C;2;RIO DE JANEIRO;RJ;09/2024;52.617.051;2.460.654;55.077.706;15.322.933;70.400.638;294.381.809;6.779.054;17.125.224;39.499.468;11.834.383;7.364.822;14.675.669;97.278.620;37.040.557;0;428.700.986;691.580.503;12,27%;12,85%;16,42%;10.723.574;7,96%;25,81%
SAFRA - PRUDENCIAL;1000080109;b1;S2;1;C;2;SAO PAULO;SP;09/2024;21.198.443;6.233.340;27.431.784;2.885.840;30.317.624;144.127.688;932.278;243.680;6.767.723;836.576;848.383;1.718.232;11.346.871;18.387.759;0;173.862.319;337.152.780;12,19%;15,78%;17,44%;4.346.558;8,14%;24,57%
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;3;C;2;SAO PAULO;SP;09/2024;15.006.903;1.788.212;16.795.115;1.440.816;18.235.931;81.828.698;268.977;0;75.337;0;166.622;211.956;722.892;27.819.399;5.192.005;115.562.994;NA;12,99%;14,53%;15,78%;1.444.537;NA%;NA%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;;C;1;FORTALEZA;CE;09/2024;13.453.410;790.489;14.243.899;1.141.302;15.385.202;85.645.979;74.412;2.800;393.904;34.431;193.957;139.657;839.160;18.199.092;0;104.684.231;142.665.443;12,85%;13,61%;14,70%;2.617.106;9,98%;2,09%
