Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;IRRBB;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWAdrc (g6);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6);;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;1;C;2;SAO PAULO;SP;09/2025;195.916.822;19.549.165;215.465.987;22.963.927;238.429.914;1.249.470.753;9.830.179;7.824.618;28.368.947;8.915.820;956.273;5.868.734;61.764.571;143.006.495;0;1.454.241.819;2.921.612.355;13,47%;14,82%;16,40%;51.806.565;1.919.625;7,37%;17,66%
BB - PRUDENCIAL;1000080329;b1;S1;1;C;1;BRASILIA;DF;09/2025;147.477.068;36.493.609;183.970.677;11.734.759;195.705.437;1.060.782.244;20.315.085;3.315.512;8.048.230;6.597;4.992.184;4.021.598;40.699.206;220.282.007;0;1.321.763.456;2.577.626.704;11,16%;13,92%;14,81%;46.261.721;15.097.355;7,14%;17,91%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;1;C;2;OSASCO;SP;09/2025;121.615.610;20.962.120;142.577.729;26.650.258;169.227.988;924.687.572;5.052.136;327.036;8.318.294;3.361.850;10.045.193;829.528;27.934.036;114.757.266;0;1.067.378.875;2.019.475.136;11,39%;13,36%;15,85%;37.358.261;5.604.407;7,06%;26,57%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;1;C;1;BRASILIA;DF;09/2025;138.782.041;1.713.241;140.495.282;12.938.297;153.433.579;802.594.461;1.193.419;623.803;3.939.587;10.830;0;1.182.008;6.949.647;123.697.478;0;933.241.586;2.376.463.438;14,87%;15,05%;16,44%;32.663.455;9.721.967;5,91%;10,03%
BNDES - PRUDENCIAL;1000081847;b4;S2;1;C;1;RIO DE JANEIRO;RJ;09/2025;175.268.635;0;175.268.635;21.071.593;196.340.229;635.454.904;68.509.259;0;5.685.794;0;1.498.131;0;75.693.184;50.916.806;0;762.064.894;1.047.684.488;23,00%;23,00%;25,76%;19.574.647;2.302.710;16,73%;1,17%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;1;C;3;SAO PAULO;SP;09/2025;85.069.887;7.792.198;92.862.085;17.395.753;110.257.838;617.048.207;5.064.208;367.118;11.839.905;5.147.807;8.205.412;2.116.831;32.741.282;75.106.360;0;724.895.848;1.280.938.817;11,74%;12,81%;15,21%;25.371.355;1.990.461;7,25%;18,07%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;1;C;2;RIO DE JANEIRO;RJ;09/2025;62.303.653;4.914.335;67.217.988;17.016.951;84.234.939;358.548.370;5.747.968;17.859.387;81.000.034;15.817.748;10.296.960;9.206.109;139.928.205;43.392.783;0;541.869.358;738.774.643;11,50%;12,40%;15,55%;13.554.038;1.611.034;9,10%;27,23%
SAFRA - PRUDENCIAL;1000080109;b1;S2;1;C;2;SAO PAULO;SP;09/2025;17.740.021;6.129.551;23.869.572;5.159.466;29.029.037;127.941.769;1.418.288;162.044;9.991.761;344.786;2.281.037;1.422.520;15.620.436;18.882.142;1.919.319;164.363.666;272.299.000;10,79%;14,52%;17,66%;4.109.092;1.577.214;8,77%;14,38%
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S2;3;C;3;SAO PAULO;SP;09/2025;18.730.917;1.819.424;20.550.341;2.440.919;22.991.260;111.216.580;5.128.819;0;14.910;0;12.321;11.770;5.167.820;32.650.719;8.566.508;157.601.627;NA;11,88%;13,04%;14,59%;3.940.041;1.224.488;NA%;NA%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;1;C;1;FORTALEZA;CE;09/2025;15.377.838;790.489;16.168.327;913.042;17.081.369;101.240.533;165.482;1.404;1.177.544;12.318;207.747;4.619;1.569.114;16.534.777;0;119.344.425;155.024.874;12,89%;13,55%;14,31%;2.983.611;601.635;10,43%;2,11%
