Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;12/2024;78.981.951;422.022;76.834.807;7.061.258;8.462.375;6.034.883;177.797.296;-108.291.109;-22.909.662;-5.795;0;-13.864.097;-145.070.664;32.726.632;14.246.641;5.055.945;-11.483.983;-14.497.869;-3.262.150;8.072.669;28.112.896;-38.674.935;-12.430.785;20.295.848;1.637.726;21.933.573;2.469.363;-4.979.624;19.423.312;0
BB;49906;b1;S1;C;1;BRASILIA;DF;12/2024;90.729.245;145.110;66.399.978;1.612.097;11.906.410;3.832.958;174.625.799;-105.061.017;-20.174.219;-90.118;0;-22.085.498;-147.410.851;27.214.947;9.348.086;4.362.632;-13.522.337;-7.000.005;-3.110.702;5.522.849;9.663.166;-12.752.590;-7.488.901;19.726.046;69.274;19.795.320;374.881;-2.260.203;17.909.998;0
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;12/2024;67.666.625;2.098.768;29.887.856;2.998.921;4.553.575;4.512.857;111.718.602;-63.716.307;-12.250.709;-1.695.982;0;-16.463.108;-94.126.107;17.592.496;9.536.930;4.927.763;-11.414.983;-11.233.349;-2.504.470;6.279.719;7.629.980;-13.483.801;-10.262.212;7.330.283;-119.369;7.210.915;2.912.457;-23.179;10.100.193;0
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;12/2024;64.390.500;0;24.506.840;3.261.560;367.931;5.560.558;98.087.389;-50.717.580;-15.907.000;0;0;-7.755.685;-74.380.266;23.707.124;9.840.267;3.064.000;-14.819.753;-6.538.354;-2.118.414;2.002.668;6.326.333;-15.243.961;-17.487.215;6.219.909;652.479;6.872.388;1.600.324;-1.161.003;7.311.709;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;12/2024;42.966.970;865.846;21.842.443;6.909.865;0;4.427.328;77.012.453;-48.219.465;-8.440.090;-837.208;-27.205;-9.144.748;-66.668.715;10.343.738;7.093.787;2.857.270;-3.803.526;-7.196.205;-1.899.777;2.395.253;23.005.987;-24.280.034;-1.827.245;8.516.493;295.682;8.812.174;-511.335;-1.170.021;7.130.818;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2024;29.393.152;0;9.199.905;3.990.002;0;56.895;42.639.954;-3.084.109;-27.730.478;0;-14.810;-769.329;-31.598.726;11.041.228;473.747;0;-728.331;-131.632;-584.611;6.710.767;698.001;-3.555.935;2.882.006;13.923.234;52;13.923.285;-714.657;-155.968;13.052.660;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2024;9.916.361;242;16.897.342;6.518.860;66.419;2.162.972;35.562.196;-19.793.982;-5.895.177;-219;0;-566.577;-26.255.955;9.306.241;3.337.345;612.262;-1.625.775;-4.938.903;-857.353;2.893.954;5.294.008;-6.445.989;-1.730.451;7.575.790;579.969;8.155.759;-720.150;-1.243.279;6.192.330;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;12/2024;11.215.551;676.751;11.022.115;1.703.378;605.334;534.801;25.757.930;-17.893.874;-3.716.921;-496.069;0;864.233;-21.242.631;4.515.299;1.005.962;385.436;-2.230.383;-1.606.625;-369.391;654.778;5.120.602;-5.924.464;-2.964.086;1.551.214;27.397;1.578.610;384.134;-19.362;1.943.382;0
NUBANK;52058;n1;S3;C;2;SAO PAULO;SP;12/2024;20.074.548;0;2.749.810;390.253;0;2.169.117;25.383.728;-6.378.953;-66.713;0;-151.847;-8.436.825;-15.034.339;10.349.389;3.612;36;-683.080;-2.236.152;-932.720;-1.755;2.156.320;-1.016.559;-2.710.298;7.639.091;413;7.639.504;-2.801.072;-5.751;4.832.681;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;12/2024;7.667.490;4.419;2.683.841;1.739.790;220.247;183.413;12.499.200;-6.576.041;-1.080.829;-7.978;0;-1.526.982;-9.191.829;3.307.371;302.140;542.038;-818.340;-1.263.686;-291.454;233.421;533.250;-1.479.419;-2.242.050;1.065.322;-106.255;959.067;234.838;-164.326;1.029.580;0
XP;52120;b1;S2;C;2;RIO DE JANEIRO;RJ;12/2024;1.281.344;0;9.633.710;380.685;730.104;361.797;12.387.641;-9.892.345;-38.936;0;0;-134.701;-10.065.982;2.321.659;2.641.461;620.017;-1.054.611;-2.751.992;-310.523;315.434;976.909;-1.528.248;-1.091.551;1.230.108;2.653;1.232.761;70.410;-728.719;574.452;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;12/2024;1.426.721;3.231;4.733.260;2.632.788;0;1.704.580;10.500.580;-3.971.781;-2.784.016;-3.190;-960.746;-346.642;-8.066.376;2.434.204;700.564;24.789;-779.837;-815.798;-192.976;0;977.363;-748.490;-834.386;1.599.818;7.804;1.607.622;-109.677;-105.490;1.392.455;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;12/2024;93.072;0;2.910.322;4.003.469;777.182;1.489.566;9.273.612;-2.025.606;-5.489.211;0;0;2.872;-7.511.945;1.761.667;660.945;2.322;-690.062;-192.615;-82.593;0;59.978;-182.513;-424.538;1.337.128;2.104;1.339.232;-363.942;-21.684;953.606;0
