Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Patrimônio Líquido (i);Passivo Total (j) = (h) + (i);
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2024;117.102.011;179.045.213;5.715.098;721.954.713;7.645.199;741.013;1.032.203.247;430.832.278;43.908.006;39.329.579;79.866.058;69.147.106;73.772.667;306.023.415;115.312.373;1.884.371.314;68.252.017;490.965.272;2.443.588.602;193.293.904;2.636.882.506
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2024;106.463.580;212.664.316;23.005.616;491.200.149;205.619;11.951.549;845.490.828;686.973.720;14.238.704;188.586.757;8.136.191;30.846.378;242.267;242.050.298;70.874.520;1.845.389.366;4.791.727;311.454.629;2.161.635.722;172.732.221;2.334.367.943
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2024;55.443.016;374.543.003;2.043.955;274.065.664;0;37.139.811;743.235.449;222.004.338;162.533.966;15.362.516;6.920.279;0;0;184.816.760;467.714.127;1.617.770.675;0;189.964.963;1.807.735.638;99.308.370;1.907.044.008
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2024;43.100.949;131.429.729;1.517.873;443.931.233;924.762;259.392;621.163.938;337.185.837;54.166.185;44.775.757;111.190.577;8.695.837;42.634.747;261.463.104;58.020.688;1.277.833.567;19.748.818;223.705.156;1.521.287.541;161.129.891;1.682.417.433
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2024;38.736.305;57.979.899;4.350.778;395.484.313;347.823;201.653;497.100.771;143.031.381;41.435.620;39.948.151;21.407.917;15.591.510;32.589.846;150.973.043;109.364.457;900.469.651;31.037.231;249.233.652;1.180.740.535;98.279.773;1.279.020.308
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2024;0;0;661.926;0;0;4.390.813;5.052.739;29.446.768;0;1.344.972;0;0;483.631;1.828.603;91.105.761;127.433.871;373.246;490.124.204;617.931.321;160.070.042;778.001.363
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2024;7.266.240;0;8.777.771;145.047.361;0;240.720;161.332.092;133.892.955;703.783;12.805.930;50.945.183;14.978.907;8.409.887;87.843.690;17.038.985;400.107.723;37.396.534;86.992.457;524.496.714;57.766.837;582.263.551
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2024;1.677.520;2.890.890;883.134;82.175.547;113.402;264;87.740.757;44.153.051;347.622;20.050.765;45.071.087;0;9.070.332;74.539.805;20.230.185;226.663.798;10.175.390;30.196.200;267.035.388;27.888.493;294.923.881
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;06/2024;1.197.480;0;541.642;34.854.812;0;13.789.895;50.383.829;63.695.908;72.025;176.648;10.238.817;2.075.967;19.944.577;32.508.033;2.515.510;149.103.281;31.745.492;39.912.169;220.760.942;8.844.333;229.605.274
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;06/2024;0;0;0;115.800.925;7.680.704;258.435;123.740.064;3.466.430;0;0;5.335.813;0;0;5.335.813;2.142.133;134.684.439;39.683;65.412.000;200.136.122;14.364.529;214.500.650
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2024;7.784.693;0;577.099;63.655.396;0;253.242;72.270.430;5.350.610;0;0;6.579.360;0;266.056;6.845.416;43.567.791;128.034.247;20.293.269;47.606.534;195.934.049;12.801.440;208.735.489
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;06/2024;102.018;31.038.571;16.645.426;6.599.867;0;0;54.385.881;12.566.876;0;38.955.201;10.316.458;0;0;49.271.658;34.211.502;150.435.917;215.562;17.401.792;168.053.270;4.795.894;172.849.164
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;06/2024;693.359;13.977.957;86.069.859;4.099.552;84.933;0;104.925.660;7.891.824;1.660;879.708;0;0;0;881.368;8.076.992;121.775.844;5.121;19.735.972;141.516.937;4.509.260;146.026.198
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;06/2024;1.613.342;0;145.046;30.470.432;0;3.442.802;35.671.621;1.171.811;0;0;0;0;65.060;65.060;27.880.708;64.789.200;30.714.908;34.345.383;129.849.491;10.523.078;140.372.569
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;06/2024;3.879.702;11.542.970;2.144.634;67.278.285;261.869;9.423;85.116.883;18.363.594;2.003.771;3.494.215;1.199.050;0;0;6.697.036;3.324.400;113.501.914;0;12.679.707;126.181.621;10.099.111;136.280.732
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2024;879.904;0;238.645;30.948.930;303.191;0;32.370.671;16.266.570;126.415;3.605.947;33.670.355;6.745.866;0;44.148.583;5.583.242;98.369.066;1.877.727;19.641.042;119.887.836;14.210.894;134.098.730
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;06/2024;0;0;0;0;55.095;0;55.095;0;0;0;0;0;0;0;3.612.595;3.667.690;0;76.479.848;80.147.539;20.391.456;100.538.995
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;06/2024;851.736;0;509.834;5.748.301;0;237.801;7.347.672;3.235.250;0;0;170.512;0;656.251;826.763;12.038.324;23.448.009;6.635.671;57.709.282;87.792.962;3.890.013;91.682.975
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;06/2024;2.018.130;0;542.435;44.728.917;6.135.434;56;53.424.972;6.830.784;701.881;522.895;1.242.899;0;0;2.467.676;0;62.723.431;48.523;19.526.416;82.298.370;3.753.310;86.051.680
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;06/2024;1.374.647;0;1.216.821;21.535.545;0;22.714;24.149.727;8.079.668;1.587.764;2.813.148;21.764.521;3.729.153;0;29.894.585;5.225.743;67.349.723;110.397;7.464.434;74.924.553;6.761.648;81.686.201
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;06/2024;3.467.087;1.207.464;1.225.468;6.956.285;0;3.468.347;16.324.652;2.809.830;0;10;10.211;0;0;10.221;2.979.129;22.123.832;0;34.560.881;56.684.713;11.563.868;68.248.581
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;06/2024;551.195;0;337.499;10.675.112;0;0;11.563.806;2.217.523;1.603.822;3.403.551;16.577.397;0;2.769;21.587.539;10.901.049;46.269.917;2.328.681;12.751.107;61.349.705;6.253.347;67.603.052
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;C;2;SAO PAULO;SP;06/2024;0;0;2.039.760;29.785.462;2.335.873;0;34.161.095;17.455;0;0;3.978.370;0;0;3.978.370;2.458.483;40.615.403;7.891;14.975.075;55.598.369;11.339.601;66.937.970
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;06/2024;1.591.812;1.715.785;1.763.695;33.179.869;0;0;38.251.161;1.372.710;8.164.759;93.524;207.360;0;77.898;8.543.542;101.630;48.269.043;14.039;9.861.997;58.145.079;7.347.304;65.492.383
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2024;304.071;0;208.767;44.843.393;948;0;45.357.179;1.905.994;656.670;167.691;1.430.175;0;0;2.254.536;5.139;49.522.848;825.558;2.202.249;52.550.655;4.601.601;57.152.257
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;06/2024;1.595.335;2.742.643;516.160;29.970.714;80.725;8.202;34.913.779;1.840.885;7.788.089;26.276;0;0;0;7.814.365;406.819;44.975.848;0;6.199.827;51.175.675;2.492.162;53.667.837
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;06/2024;52.587;0;242.965;2.818.867;0;0;3.114.419;1.515.405;2.079.928;2.330.304;2.354.295;0;0;6.764.527;28.255.525;39.649.876;1.352.843;5.097.337;46.100.056;5.042.918;51.142.974
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;06/2024;3.390.950;762.959;0;2.703.329;0;6.442.687;13.299.925;49.999;0;747.081;0;0;0;747.081;443.054;14.540.059;0;30.047.672;44.587.731;6.461.355;51.049.087
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;C;3;OSASCO;SP;06/2024;0;0;150.102;5.571.662;16.197.659;0;21.919.423;0;0;0;474.372;0;0;474.372;2.099.093;24.492.888;0;19.294.044;43.786.932;3.008.010;46.794.943
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;06/2024;0;0;7.656.520;14.998.363;0;0;22.654.883;0;0;0;11.855.715;0;0;11.855.715;1.865.007;36.375.604;37.698;4.791.861;41.205.164;4.921.440;46.126.603
