Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Instrumentos de Dívida Elegíveis a Capital (h);Passivo Exigível (i) = (e) + (f) + (g) + (h);Patrimônio Líquido (j);Passivo Total (k) = (i) + (j);
;;;;;;;;;Depósitos;;;;;;;Obrigações por Operações Compromissadas (b);Outros Instrumentos de Dívida;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósitos (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Demais instrumentos de dívida (c5);Outros Instrumentos de Dívida (c);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2025;117.478.113;174.680.259;6.017.259;722.290.303;4.531.351;1.782.822;1.026.780.107;408.516.286;57.131.635;52.173.414;66.813.650;78.218.795;93.824.229;348.161.724;120.686.035;1.904.144.152;70.686.345;280.387.191;41.710.350;2.296.928.038;204.014.774;2.500.942.812
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2025;99.971.647;213.379.180;25.635.571;537.046.548;175.005;14.485.142;890.693.092;654.937.910;15.184.445;225.379.310;28.646.291;26.346.592;784.556;296.341.195;81.961.277;1.923.933.475;5.098.161;267.612.002;48.734.144;2.245.377.781;175.579.414;2.420.957.196
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2025;47.656.729;379.393.907;2.487.277;298.362.006;0;44.990.935;772.890.854;253.858.519;213.160.381;13.888.558;21.653.517;0;2.957.808;251.660.264;515.996.080;1.794.405.717;313;120.283.659;69.474.813;1.984.164.503;104.500.431;2.088.664.934
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2025;33.200.585;126.124.054;933.311;465.234.063;846.792;548.154;626.886.960;317.183.366;60.940.008;48.391.000;113.187.616;10.373.654;37.855.692;270.747.970;80.295.842;1.295.114.138;14.718.261;138.229.233;58.925.938;1.506.987.571;167.163.898;1.674.151.469
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2025;50.206.292;54.786.470;5.581.981;381.542.603;2;387.589;492.504.937;164.701.840;42.797.914;35.541.730;37.777.208;16.313.340;37.096.907;169.527.099;124.218.471;950.952.347;30.515.373;158.590.559;23.659.003;1.163.717.282;99.381.565;1.263.098.847
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2025;0;0;1.105.015;0;0;3.920.014;5.025.029;35.352.008;0;2.534.809;0;0;441.001.299;443.536.109;66.670.157;550.583.303;224.875;111.196.077;29.853.924;691.858.179;168.220.636;860.078.816
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2025;10.251.430;0;4.335.926;132.203.255;0;925;146.791.536;114.829.439;1.939;13.438.031;60.143.959;14.140.107;15.736.485;103.460.522;24.910.313;389.991.810;48.259.221;48.907.635;20.765.562;507.924.228;65.050.482;572.974.709
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;03/2025;1.139.870;0;470.630;57.311.552;0;14.157.390;73.079.441;80.557.479;428.580;370.148;12.844.388;4.041.166;22.114.706;39.798.989;3.771.799;197.207.708;31.305.525;42.215.732;2.796.996;273.525.961;11.759.074;285.285.035
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2025;1.853.340;2.344.209;640.745;61.209.590;71.764;19.306;66.138.954;34.192.353;827.952;18.636.971;41.785.441;0;8.651.639;69.902.003;23.789.414;194.022.723;12.322.165;17.357.985;15.111.061;238.813.935;19.314.559;258.128.494
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;3;SAO PAULO;SP;03/2025;0;0;0;133.140.787;7.381.276;148.119;140.670.181;3.100.356;0;0;7.733.466;0;0;7.733.466;4.366.726;155.870.730;481.993;63.901.277;5.257.085;225.511.084;18.886.873;244.397.957
