Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2024;2.502.517.909;903.538.493;2.317.715.572;1.783.363.231;184.802.337;9.821.741;203.884.518;16,40%;20,03%;2.230;1.082
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2024;2.282.101.723;1.002.458.976;2.112.900.858;1.809.348.931;169.200.865;9.031.737;177.822.258;15,13%;16,61%;4.007;530
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2024;1.878.039.731;1.145.327.145;1.782.018.908;1.593.433.861;96.020.823;2.272.516;128.797.357;16,85%;9,43%;3.375;895
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2024;1.636.052.544;636.706.211;1.474.063.284;1.238.846.251;161.989.261;4.215.882;145.621.238;15,38%;23,19%;2.787;1.105
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2024;1.202.275.672;528.033.750;1.105.593.847;858.242.049;96.681.825;3.065.480;97.010.740;14,47%;18,15%;2.542;1.575
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2024;739.706.258;315.833.796;584.696.485;117.360.945;155.009.773;5.237.433;186.306.961;30,40%;1,10%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2024;555.006.785;132.621.811;499.056.693;376.266.979;55.950.092;2.773.672;62.939.204;16,40%;23,23%;76;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2024;286.238.464;119.971.590;258.920.928;215.602.235;27.317.536;667.869;32.343.158;17,35%;28,64%;176;6
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;03/2024;210.073.044;30.029.999;201.337.353;141.930.884;8.735.691;70.272;7.476.234;13,07%;23,90%;14;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;03/2024;194.043.347;94.274.525;181.038.326;120.407.322;13.005.020;1.774.307;13.969.224;13,88%;NA%;8;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;03/2024;193.004.647;28.747.661;180.192.653;122.049.695;12.811.994;627.390;12.545.369;16,68%;3,06%;57;8
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;03/2024;164.870.850;30.252.092;160.064.040;143.201.442;4.806.810;49.581;6.168.295;19,75%;1,58%;7;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;03/2024;137.963.631;26.417.819;133.615.246;115.722.411;4.348.386;169.477;4.257.140;17,11%;13,13%;8;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;03/2024;135.860.432;74.699.434;121.821.797;97.148.870;14.038.635;335.494;12.654.047;15,50%;6,51%;8;5
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;03/2024;128.457.719;53.861.666;118.655.885;100.326.077;9.801.834;187.387;10.043.756;17,63%;10,88%;502;61
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;03/2024;118.461.344;3.617.066;108.156.050;58.201.544;10.305.294;294.231;10.113.658;19,55%;0,83%;9;0
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;03/2024;103.038.766;1.174.607;82.731.034;4.132.933;20.307.732;578.574;8.867.650;33,63%;NA%;1;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;03/2024;87.767.007;9.577.948;83.719.902;25.058.176;4.047.106;33.948;5.665.717;18,36%;1,20%;2;0
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;03/2024;76.624.805;45.777.182;73.381.523;52.545.928;3.243.282;441.252;4.176.078;12,33%;15,67%;6;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;03/2024;76.334.595;46.230.097;69.910.894;63.682.964;6.423.701;367.968;7.415.965;14,67%;15,53%;56;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;03/2024;66.851.314;12.848.473;55.515.875;21.364.618;11.335.439;504.025;12.844.543;13,03%;2,46%;297;1
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;03/2024;61.598.763;30.607.469;54.245.960;44.250.407;7.352.803;73.614;5.852.973;20,28%;3,02%;21;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;03/2024;60.251.418;22.123.900;54.104.358;42.674.933;6.147.059;226.517;8.061.960;16,57%;0,56%;15;0
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;C;2;SAO PAULO;SP;03/2024;59.837.240;2.116.674;48.856.177;34.308.413;10.981.063;384.733;8.745.385;30,53%;NA%;6;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;03/2024;56.981.796;30.026.276;51.605.235;35.318.700;5.376.561;136.045;7.031.231;15,51%;0,48%;19;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;03/2024;50.182.588;35.761.440;47.616.667;41.893.402;2.565.921;-42.909;4.071.150;14,28%;16,35%;131;108
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;03/2024;48.194.840;26.932.802;42.080.862;13.451.930;6.113.977;206.772;6.017.983;13,28%;3,50%;116;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;03/2024;45.557.770;24.897.989;41.571.732;37.535.169;3.986.038;94.379;3.472.516;13,24%;26,23%;35;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;03/2024;44.046.543;38.291.712;39.817.798;35.102.459;4.228.745;42.940;4.329.129;12,08%;0,18%;3;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;03/2024;42.691.470;10.025.036;40.419.491;39.013.741;2.271.978;68.287;2.022.157;14,44%;16,79%;93;61
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;03/2024;42.680.297;1.645.406;41.173.391;9.558.776;1.506.906;16.672;1.480.762;29,80%;0,76%;2;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;03/2024;42.125.319;441.777;38.891.860;14.510.194;3.233.460;71.870;3.232.719;26,95%;0,80%;4;0
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2024;41.806.744;20.831.352;39.066.691;37.090.476;2.740.054;59.485;2.167.228;10,52%;22,26%;10;5
STONE IP - PRUDENCIAL;1000084686;n1;S4;C;3;SAO PAULO;SP;03/2024;41.480.276;763;30.072.131;8.149.918;11.408.145;86.861;1.682.221;11,16%;NA%;3;0
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;03/2024;39.055.132;20.364.109;36.314.005;31.803.660;2.741.127;205.602;2.671.196;10,02%;NA%;9;0
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;C;3;OSASCO;SP;03/2024;38.757.468;7.617.889;35.838.982;19.799.208;2.918.486;289.952;2.554.327;14,69%;NA%;3;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;03/2024;38.533.658;2.432.682;33.056.743;20.685.981;5.476.916;229.339;5.443.253;25,43%;1,58%;3;0
TERRA INVESTIMENTOS DTVM - PRUDENCIAL;1000084514;n2;S4;C;2;SAO PAULO;SP;03/2024;34.030.466;0;33.958.852;1.711.355;71.614;1.174;62.789;14,90%;5,20%;6;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;03/2024;29.614.709;4.743.669;26.975.604;10.345.169;2.639.104;31.962;2.623.149;27,16%;0,48%;2;0
MIZUHO - PRUDENCIAL;1000080697;b1;S4;I;3;SAO PAULO;SP;03/2024;28.366.166;2.702.992;27.255.992;12.342.642;1.110.173;33.597;1.099.660;20,05%;1,95%;2;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;03/2024;27.207.411;26.049.688;24.778.274;22.730.155;2.429.137;-61.502;3.116.048;13,32%;0,11%;2;0
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;03/2024;26.711.952;12.680.604;25.425.004;21.135.824;1.286.948;71.134;2.058.212;16,04%;0,63%;8;0
BANCO HSBC - PRUDENCIAL;1000084741;b1;S3;I;3;SAO PAULO;SP;03/2024;25.199.383;1.525.832;23.986.935;7.320.328;1.212.449;17.707;1.671.008;25,65%;0,62%;2;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S4;C;3;SAO PAULO;SP;03/2024;25.184.598;627.920;23.465.832;3.297.129;1.718.766;1.313;1.658.865;44,11%;0,40%;4;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;03/2024;24.850.460;4.835.357;18.544.595;4.056.577;6.305.865;239.519;6.014.682;35,59%;0,47%;10;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;03/2024;24.448.074;9.405.101;23.364.600;19.223.674;1.083.474;62.978;1.389.906;13,69%;15,58%;5;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2024;23.201.337;0;8.205.900;133;14.995.437;-1.931;14.983.537;45,37%;2,25%;2;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;I;3;SAO PAULO;SP;03/2024;22.649.792;2.022.449;19.949.887;8.648.381;2.699.905;-154.001;2.699.905;19,40%;0,95%;2;0
AGIBANK - PRUDENCIAL;1000083694;b1;S3;C;2;CAMPINAS;SP;03/2024;21.883.778;17.705.551;20.184.152;16.535.732;1.699.626;215.062;1.881.346;14,54%;26,30%;4;1
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;03/2024;21.570.306;18.686.571;17.402.403;16.148.260;4.167.903;66.732;4.159.192;21,11%;1,00%;4;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;03/2024;20.907.083;1.443.749;15.415.341;4.257.465;5.491.742;144.671;5.449.612;29,30%;1,50%;4;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;03/2024;20.824.227;14.899.362;19.109.602;16.729.683;1.714.625;165.849;2.021.682;17,01%;23,12%;11;256
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;03/2024;19.992.894;70.630;18.849.913;295.671;1.142.981;32.522;582.229;14,27%;14,65%;0;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;03/2024;19.977.597;19.137.553;17.555.053;16.833.544;2.422.545;24.093;2.414.052;13,30%;0,67%;4;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;2;SAO PAULO;SP;03/2024;19.154.803;19.066.319;15.810.018;3.589.599;3.344.786;134.997;2.503.235;16,49%;10,07%;2;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;C;2;SAO PAULO;SP;03/2024;18.126.257;16.877.465;16.688.823;3.027.188;1.437.434;123.430;2.199.745;13,64%;7,12%;5;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;03/2024;18.050.102;17.446.588;15.406.322;15.173.392;2.643.780;39.881;2.615.881;14,79%;0,17%;2;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;03/2024;17.608.770;13.440.106;15.625.071;14.924.301;1.983.700;75.314;1.827.498;15,13%;3,16%;161;34
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;03/2024;16.620.348;111.499;15.638.398;1.222.601;981.950;25.696;572.639;16,51%;0,89%;0;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S3;I;3;PORTO ALEGRE;RS;03/2024;16.406.510;15.717.274;14.981.889;13.207.364;1.424.621;-10.050;1.825.612;13,39%;2,56%;3;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S3;C;3;SAO PAULO;SP;03/2024;16.341.516;112.367;12.836.997;11.361.088;3.504.519;55.795;3.501.564;39,42%;0,36%;4;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;03/2024;16.086.213;4.540.732;14.893.413;13.718.345;1.192.800;-17.805;816.605;11,11%;1,85%;2;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S3;I;2;BELO HORIZONTE;MG;03/2024;15.969.989;1.017.263;15.266.163;548;703.826;17.147;465.114;15,54%;2,48%;0;0
SOFISA - PRUDENCIAL;1000080271;b1;S3;C;2;SAO PAULO;SP;03/2024;15.805.309;8.329.949;14.710.183;13.989.972;1.095.126;27.481;1.133.170;12,97%;9,56%;23;0
VOLVO - PRUDENCIAL;1000080769;b2;S3;C;3;CURITIBA;PR;03/2024;15.790.364;15.046.663;12.982.602;12.706.891;2.807.763;81.824;2.798.402;18,06%;18,05%;3;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;03/2024;14.927.615;8.912.441;13.318.507;11.338.380;1.609.108;-11.951;2.408.150;21,78%;0,32%;14;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;03/2024;14.889.407;6.041.338;12.117.687;10.481.911;2.771.720;99.574;2.712.078;26,57%;3,68%;0;129
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;03/2024;13.770.362;13.511.533;12.317.597;11.995.729;1.452.764;46.811;1.440.926;12,64%;0,82%;3;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;03/2024;13.633.619;322;13.076.026;1.055.417;557.593;17.193;341.343;17,32%;0,71%;0;0
STELLANTIS - PRUDENCIAL;1000087298;b2;S4;C;3;SAO PAULO;SP;03/2024;13.073.222;11.144.225;9.902.839;9.534.827;3.170.383;72.787;1.954.856;17,82%;0,04%;4;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;03/2024;13.011.761;8.448.495;10.291.231;9.395.293;2.720.530;89.829;2.720.528;22,23%;1,59%;0;115
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;03/2024;12.986.123;10.642.795;9.778.997;7.963.258;3.207.126;150.125;2.814.114;27,85%;2,37%;3;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;03/2024;12.183.241;5.014.569;10.723.882;9.511.244;1.459.359;54.286;1.432.469;14,43%;7,27%;0;43
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;C;3;SAO PAULO;SP;03/2024;12.079.978;10.203.715;10.755.137;10.075.134;1.324.841;61.766;1.296.661;13,79%;2,23%;3;0
