Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2025;2.652.283.636;1.161.010.223;572.629.785;2.423.563.499;2.011.269.702;228.720.138;11.772.305;238.429.914;16,40%;17,66%;1.730;1.285
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2025;2.538.286.318;1.103.470.994;659.366.607;2.359.695.996;2.012.364.645;178.590.322;3.107.072;195.705.437;14,81%;17,91%;3.996;398
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2025;2.209.688.594;1.274.743.460;434.199.437;2.096.638.593;1.910.695.714;113.050.001;3.415.564;153.433.579;16,44%;10,03%;3.248;1.023
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2025;1.794.848.789;843.834.827;288.847.015;1.621.306.949;1.402.655.462;173.541.840;6.181.042;169.227.988;15,85%;26,57%;2.162;808
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;09/2025;1.286.241.580;536.626.641;257.023.009;1.182.788.339;949.252.032;103.453.241;4.327.270;110.257.838;15,21%;18,07%;2.138;1.789
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2025;905.554.450;377.600.025;229.143.735;736.998.251;578.317.157;168.556.200;3.897.466;196.340.229;25,76%;1,17%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2025;631.011.426;192.670.248;178.096.989;558.777.925;430.079.731;72.233.500;4.337.377;84.234.939;15,55%;27,23%;66;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S2;C;3;SAO PAULO;SP;09/2025;296.885.864;124.229.372;64.708.099;277.441.265;195.023.152;19.444.599;2.892.608;22.991.260;14,59%;NA%;6;0
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;09/2025;291.035.065;37.963.545;142.597.540;278.371.831;206.710.035;12.663.234;205.450;13.037.650;13,94%;47,10%;11;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2025;265.448.063;132.708.479;63.366.366;246.358.396;201.509.229;19.089.667;1.128.995;29.029.037;17,66%;14,38%;188;3
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;09/2025;219.210.169;42.609.275;58.234.604;213.731.378;188.472.575;5.478.791;15.779;7.933.894;21,80%;1,40%;7;0
BANCO SICOOB - PRUDENCIAL;1000080879;b1;S2;C;2;BRASILIA;DF;09/2025;201.858.031;38.031.688;41.553.383;196.217.664;171.620.670;5.640.367;136.862;6.190.000;18,92%;11,49%;8;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;09/2025;195.570.730;31.540.925;46.414.838;181.094.567;148.708.353;14.476.163;900.878;14.342.656;19,26%;1,95%;53;8
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;09/2025;158.706.131;60.537.716;67.424.025;147.828.521;133.674.068;10.877.610;328.616;13.052.434;17,85%;11,07%;516;43
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;09/2025;150.676.252;73.491.870;37.858.705;137.105.838;110.391.648;13.570.414;482.596;14.704.416;16,70%;7,08%;8;3
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;09/2025;134.069.786;82.006.631;33.978.197;128.441.903;93.144.406;5.627.883;634.846;8.034.547;13,43%;13,70%;6;0
CIELO IP - PRUDENCIAL;1000084710;n4;NA;C;2;BARUERI;SP;09/2025;110.151.654;0;1.419.579;97.077.590;10.683.507;13.074.064;416.875;3.643.503;15,48%;NA%;1;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;09/2025;104.199.848;2.123.945;43.564.501;91.081.475;76.087.580;13.118.373;553.831;12.978.797;24,65%;0,94%;9;0
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S3;C;3;OSASCO;SP;09/2025;96.782.433;22.805.631;14.095.875;91.894.767;52.293.050;4.887.666;329.237;4.598.191;11,62%;NA%;5;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;09/2025;90.792.165;52.257.443;20.450.121;82.811.745;73.619.581;7.980.420;473.258;9.393.947;15,03%;17,85%;60;0
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;09/2025;89.763.789;39.759.211;26.576.826;82.391.177;67.746.076;7.372.612;288.454;6.030.082;14,63%;13,55%;5;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;09/2025;83.506.206;57.225.080;12.464.333;78.613.259;68.616.636;4.892.947;184.569;NI;NI%;NI%;69;193
PAGSEGURO - PRUDENCIAL;1000084813;b1;S3;C;2;SAO PAULO;SP;09/2025;73.049.160;3.515.431;838.247;61.526.354;46.134.218;11.522.806;501.143;6.627.220;23,02%;NA%;6;0
