Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;09/2023;2.446.125.525;901.295.766;2.262.996.145;1.805.185.468;183.129.380;7.965.525;2.374;1.011
BB;49906;b1;S1;C;1;BRASILIA;DF;09/2023;2.227.265.291;945.588.965;2.065.979.156;1.800.704.217;161.286.135;8.635.197;3.992;547
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;09/2023;1.740.553.254;1.091.366.150;1.650.627.860;1.461.935.090;89.925.394;3.036.514;3.374;896
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;09/2023;1.614.881.572;626.531.588;1.448.867.531;1.221.409.348;166.014.040;4.658.225;2.802;1.186
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;09/2023;1.188.545.447;502.944.748;1.102.117.970;890.451.822;86.427.477;2.709.424;2.561;1.574
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2023;707.765.549;274.734.481;559.826.300;139.801.256;147.939.248;4.944.616;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2023;510.811.206;106.149.255;460.968.630;336.007.198;49.842.576;2.622.550;72;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;09/2023;257.142.566;109.502.854;232.415.500;190.590.404;24.727.066;940.225;132;4
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;09/2023;185.560.798;30.408.600;172.058.120;115.229.863;13.502.678;852.638;57;8
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;C;2;PORTO ALEGRE;RS;09/2023;173.548.840;25.461.490;169.260.765;155.079.577;4.288.075;70.847;6;0
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;09/2023;168.488.959;27.700.536;160.334.786;108.212.554;8.154.173;189.585;14;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;09/2023;135.651.675;71.338.061;122.625.217;94.359.169;13.026.458;284.832;7;5
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;09/2023;132.870.363;23.724.995;129.287.172;112.967.696;3.583.191;147.725;7;0
