Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;03/2025;2.533.620.793;1.102.720.072;628.353.261;2.331.489.511;1.974.869.412;202.131.282;10.853.321;1.988;1.153
BB;49906;b1;S1;C;1;BRASILIA;DF;03/2025;2.421.391.246;1.122.017.903;520.728.360;2.245.514.076;1.926.906.235;175.877.169;6.941.572;4.005;483
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;03/2025;2.089.067.737;1.212.547.197;305.382.094;1.984.987.997;1.795.556.017;104.079.740;5.387.708;3.256;887
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;03/2025;1.701.659.831;810.372.378;290.708.229;1.527.052.382;1.318.575.248;174.607.449;5.926.607;2.332;875
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;03/2025;1.253.581.865;524.410.576;270.327.834;1.162.225.406;985.062.359;91.356.459;3.872.843;2.405;1.544
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2025;857.686.345;326.744.993;130.719.170;689.486.389;569.680.164;168.199.955;5.617.809;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2025;590.514.261;159.543.311;154.135.029;528.125.026;402.650.709;62.389.235;3.209.922;65;0
XP;52120;b1;S2;C;2;RIO DE JANEIRO;RJ;03/2025;292.391.291;27.969.344;117.499.120;280.672.700;196.822.614;11.718.592;256.370;14;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;03/2025;268.723.253;128.844.094;63.843.107;249.397.142;205.535.231;19.326.111;995.727;182;6
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S2;C;2;PORTO ALEGRE;RS;03/2025;203.689.557;40.600.758;45.582.406;198.759.983;176.628.896;4.929.574;-45.220;6;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;03/2025;189.903.907;32.997.376;57.074.342;177.391.211;144.138.292;12.512.697;522.585;53;8
NUBANK;52058;n1;S3;C;3;SAO PAULO;SP;03/2025;170.787.531;52.540.093;50.022.726;158.678.520;148.414.438;12.109.011;2.504.223;4;0
BANCO SICOOB;51750;b1;S2;C;2;BRASILIA;DF;03/2025;166.593.673;35.606.345;39.934.360;161.342.394;138.962.606;5.251.279;272.148;7;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;03/2025;151.096.311;60.809.479;61.778.659;140.685.619;129.297.078;10.410.692;241.318;511;42
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;03/2025;141.058.047;71.224.473;35.964.765;128.685.720;104.058.167;12.372.327;476.296;7;5
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;n4;S1;C;2;SAO PAULO;SP;03/2025;125.746.571;0;7.117.400;88.831.984;0;36.914.587;881.226;1;0
C6 BANK;52072;b1;S3;C;2;SAO PAULO;SP;03/2025;117.914.487;66.993.211;34.485.236;113.406.905;83.435.233;4.507.582;543.064;6;0
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;1027058;n4;;C;2;BARUERI;SP;03/2025;117.268.636;0;12.315.501;107.652.369;7.788.266;9.616.267;394.797;1;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;03/2025;114.150.482;2.600.451;31.880.397;102.133.235;87.244.971;12.017.247;545.947;9;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;n4;S3;C;3;SAO PAULO;SP;03/2025;93.780.506;53.197.597;2.512.143;75.015.937;7.663.291;18.764.569;2.851.776;1;0
MASTER;50201;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2025;86.396.553;22.745.543;34.898.337;83.182.413;64.880.335;3.214.140;57.713;18;5
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;03/2025;81.171.518;50.316.594;18.102.624;73.767.906;67.522.528;7.403.612;451.812;60;0
INTER;51884;b1;S3;C;2;BELO HORIZONTE;MG;03/2025;80.000.585;33.188.649;24.474.533;72.753.717;61.308.767;7.246.868;217.744;19;0
STONE INSTITUIÇÃO DE PAGAMENTO S.A.;16501555;n4;S4;C;3;SAO PAULO;SP;03/2025;72.622.335;0;25.982.744;70.001.375;22.909.353;2.620.959;264.063;1;0
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO;10440482;n4;S1;C;3;SAO PAULO;SP;03/2025;70.979.524;0;268.216;67.830.510;22.957;3.149.014;104.790;1;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;C;1;FORTALEZA;CE;03/2025;70.923.904;17.497.673;43.789.342;56.808.773;22.649.666;14.115.131;341.213;299;1
BRB;31976;b1;S3;C;1;BRASILIA;DF;03/2025;69.307.431;52.304.915;6.930.521;65.228.103;59.016.970;4.079.328;250.028;91;161
PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.;8561701;n4;S4;C;2;SAO PAULO;SP;03/2025;67.966.218;542.752;5.163.730;58.094.514;39.486.661;9.871.704;174.621;1;0
MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.;10573521;n4;S4;C;3;OSASCO;SP;03/2025;67.892.163;10.833.632;25.065.449;64.826.950;24.382.342;3.065.213;128.581;1;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;03/2025;61.303.282;20.149.987;26.450.857;54.813.474;47.295.586;6.489.807;231.793;15;0
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;03/2025;56.724.338;31.863.214;20.382.591;50.033.063;14.559.172;6.691.275;307.457;115;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;C;3;SAO PAULO;SP;03/2025;55.002.105;45.839.901;27.177;49.650.600;44.589.082;5.351.505;399.178;2;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;03/2025;52.616.327;37.923.412;5.505.339;46.946.761;42.089.753;5.669.566;45.140;19;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;03/2025;50.291.629;24.606.260;15.100.175;46.643.451;37.827.708;3.648.178;114.891;35;2
PAGBANK-PAGSEGURO;52182;b1;S4;C;2;SAO PAULO;SP;03/2025;41.591.544;36.871.615;577.896;40.745.949;40.363.617;845.595;9.586;4;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;b1;S3;C;3;SAO PAULO;SP;03/2025;39.172.714;7.758.335;19.570.035;35.277.838;24.952.723;3.894.876;83.511;2;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;03/2025;39.023.925;2.089.748;10.083.903;32.625.987;24.433.618;6.397.938;336.542;3;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;03/2025;38.190.700;11.548.506;15.544.523;35.918.748;34.481.266;2.271.952;54.542;91;62
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;03/2025;36.936.141;313.294;19.625.122;32.399.287;14.282.544;4.536.854;357.907;4;0
AGIBANK;51956;b1;S3;C;2;CAMPINAS;SP;03/2025;33.594.579;25.190.368;3.571.834;30.921.455;25.496.202;2.673.124;348.772;4;238
BANCO CLASSICO S.A.;31597552;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2025;31.966.602;0;27.411.837;14.358.456;4.000.486;17.608.145;735;2;0
BOCOM;52003;b1;S3;C;3;SALVADOR;BA;03/2025;30.322.936;12.165.704;11.925.253;28.850.399;24.378.194;1.472.537;78.874;8;0
PICPAY - FINANCEIRO;52632;b1;S3;C;2;SAO PAULO;SP;03/2025;28.950.223;13.833.507;9.120.960;28.101.967;22.290.943;848.256;-45.868;7;0
BANCO ORIGINAL S.A.;92894922;b1;S3;C;2;SAO PAULO;SP;03/2025;28.945.580;12.374.045;8.727.828;27.744.270;25.827.088;1.201.310;16.525;2;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;03/2025;28.701.205;26.393.800;2.269;25.668.876;23.569.305;3.032.329;53.505;2;0
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;03/2025;28.085.694;17.848.113;2.705.946;26.153.062;22.418.809;1.932.632;241.206;11;279
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;03/2025;26.913.278;225.489;7.093.766;25.374.590;624.464;1.538.688;42.948;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;C;1;PORTO ALEGRE;RS;03/2025;25.970.704;21.454.514;3.744.138;21.298.921;19.621.705;4.671.782;108.900;4;0
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;03/2025;24.120.130;0;10.799.695;18.192.979;11.043.224;5.927.151;144.405;4;0
SOFISA;31873;b1;S3;C;2;SAO PAULO;SP;03/2025;23.614.848;7.175.275;9.526.850;22.450.896;16.241.829;1.163.952;52.818;25;0
CCB;32119;b1;S3;C;3;SAO PAULO;SP;03/2025;21.519.502;12.208.499;5.174.277;19.487.318;17.415.896;2.032.184;31.135;16;1
BANCO CSF S.A.;8357240;b2;S3;I;2;SAO PAULO;SP;03/2025;21.163.540;16.997.200;935.144;18.323.914;3.907.498;2.839.626;129.939;2;0
MERCEDES-BENZ;51262;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;03/2025;20.011.150;18.453.184;267.877;17.385.307;16.621.593;2.625.843;64.957;4;0
TERRA;52113;n2;S4;C;2;SAO PAULO;SP;03/2025;19.975.512;0;132.510;19.893.803;1.555.071;81.709;4.914;6;0
PORTO SEGURO;51444;n1;S3;C;2;SAO PAULO;SP;03/2025;19.901.545;17.791.597;308.424;18.933.606;3.923.220;967.939;61.979;4;0
UBS (BRASIL);30771;b1;S3;C;3;SAO PAULO;SP;03/2025;19.890.689;5.392.308;3.846.183;12.898.975;5.717.375;6.991.715;114.775;15;0
STONE SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;53505601;n1;S4;C;3;SAO PAULO;SP;03/2025;19.379.687;18.298.551;0;19.321.836;18.793.635;57.851;37.539;2;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S3;I;2;BELO HORIZONTE;MG;03/2025;19.291.099;1.076.135;5.061.161;18.435.270;0;855.829;27.919;0;0
STELLANTIS;52508;b2;S4;C;3;SAO PAULO;SP;03/2025;19.191.107;16.426.707;889.934;16.035.451;14.751.103;3.155.656;114.174;4;0
BANCO JOHN DEERE S.A.;91884981;b1;S1;C;2;OSASCO;SP;03/2025;19.078.135;16.684.332;832.761;14.847.672;14.654.147;4.230.463;57.950;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;03/2025;18.849.182;185.662;4.411.100;17.631.697;597.026;1.217.485;35.318;0;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S3;I;1;BELEM;PA;03/2025;18.712.177;14.301.257;1.767.550;16.547.058;15.773.287;2.165.118;57.988;165;34
BANCO FIBRA S.A.;58616418;b1;S3;C;2;SAO PAULO;SP;03/2025;18.540.374;5.427.914;8.339.975;17.368.437;16.220.352;1.171.937;25.916;2;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;b1;S3;C;3;SAO PAULO;SP;03/2025;17.876.595;8.502.467;2.694.795;15.153.170;13.583.641;2.723.424;21.127;2;0
BANCO VOLVO BRASIL S.A.;58017179;b2;S3;C;3;CURITIBA;PR;03/2025;17.045.203;14.405.749;1.515.030;13.357.712;13.213.596;3.687.491;105.502;2;0
SCANIA BANCO S.A.;11417016;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;03/2025;16.471.257;16.014.705;917;15.098.067;15.020.709;1.373.190;922;2;0
CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA;18189547;n4;;C;2;SAO PAULO;SP;03/2025;16.033.147;0;329.302;14.905.342;1.163.359;1.127.804;121.503;1;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;03/2025;15.915.889;8.822.505;3.128.905;12.717.376;11.275.815;3.198.513;101.724;0;130
BANCO GM S.A.;59274605;b2;S3;C;3;SAO PAULO;SP;03/2025;15.889.359;12.379.370;146.310;13.184.306;11.442.545;2.705.053;102.384;2;0
SCOTIABANK;52230;b1;S3;C;3;SAO PAULO;SP;03/2025;15.628.820;1.328.227;2.237.548;12.462.767;9.822.194;3.166.053;45.169;4;0
BANCO MIZUHO DO BRASIL S.A.;61088183;b1;S4;I;3;SAO PAULO;SP;03/2025;15.331.018;3.079.566;6.646.079;14.087.448;12.673.155;1.243.570;36.998;2;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;S3;I;3;SAO PAULO;SP;03/2025;14.816.449;2.824.523;2.442.879;12.083.010;9.036.781;2.733.439;31.108;2;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;03/2025;14.785.397;8.298.014;560.575;11.609.825;10.447.939;3.175.572;194.193;0;115
MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;37679449;n1;S4;C;3;OSASCO;SP;03/2025;14.656.817;4.803.552;2.980.702;13.321.138;11.773.896;1.335.679;-132.764;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;S3;I;3;PORTO ALEGRE;RS;03/2025;14.577.376;13.366.435;0;13.237.622;12.078.546;1.339.754;-18.110;3;0
BR PARTNERS BANCO DE INVESTIMENTO S.A.;13220493;b2;S4;C;2;SAO PAULO;SP;03/2025;14.444.051;633.684;12.407.550;13.768.196;12.815.077;675.856;4.661;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;03/2025;14.071.786;0;2.000.023;13.367.338;2.156.676;704.447;31.794;0;0
