Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Resultado de Intermediação Financeira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resultado com Transações de Pagamento;;;;Outras Receitas / Despesas;;;;;;;;;;;Resultado antes da Tributação e Participações (x) = (k) + (l) + (w);Imposto de Renda e Contribuição Social (y);Participações no Lucro (z);Lucro Líquido (aa) = (x) + (y) + (z);
;;;;;;;;;;Rendas de Aplicações Interfinanceiras de Liquidez;;;;Rendas de Títulos e Valores Mobiliários;;;;;Rendas de Operações de Crédito;;;;;Rendas de Arrendamento Financeiro (d);Rendas de Outras Operações com Características de Concessão de Crédito (e);Resultado com Perda Esperada;;;;;;;Despesas de Captações;;;;;Despesas de Instrumentos de Dívida Elegíveis a Capital (h);Resultado com Derivativos (i);Outros Resultados de Intermediação Financeira (j);Resultado de Intermediação Financeira (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);Resultado com Serviços por Transações de Pagamento (l1);Resultados de Perda Esperada com Transações de Pagamento (l2);Outros Resultados com Transações de Pagamento (l3);Resultado com Transações de Pagamento (l);Rendas de Tarifas Bancárias (m);Outras Rendas de Prestação de Serviços (n);Despesas de Pessoal (o);Despesas Administrativas (p);Resultado com Perdas Esperadas de Outras Operações (q);Despesas de Juros Sobre Capital Próprio de Cooperativas (r);Despesas Tributárias (s);Resultado de Participações (t);Outras Receitas (u);Outras Despesas (v);Outras Receitas / Despesas (w)= (m) + (n) + (o) +  (p) + (q) + (r) + (s) + (t) + (u) + (v);;;;;
;;;;;;;;;;Receita de Juros com Aplicações Interfinanceiras de Liquidez (a1);Ajuste de Variação Cambial de Aplicações Interfinanceiras de Liquidez (a2);Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Aplicações Interfinanceiras de Liquidez (a3);Rendas de Aplicações Interfinanceiras de Liquidez (a);Receita de Juros com TVM (b1);Ajuste de Variação Cambial de TVM (b2);Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de TVM (b3);Outros Resultados de TVM (b4);Rendas de Títulos e Valores Mobiliários (b);Receita de Juros com Operações de Crédito (c1);Ajuste de Variação Cambial de Operações de Crédito (c2);Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Operações de Crédito (c3);Outros Resultados de Operações de Crédito (c4);Rendas de Operações de Crédito (c);;;Resultado com Perda Esperada de Aplicações Interfinanceiras de Liquidez (f1);Resultado com Perda Esperada de TVM (f2);Resultado com Perda Esperada de Operações de Crédito (f3);Resultado com Perda Esperada de Arrendamento (f4);Resultado com Perda Esperada de Outras Operações com Características de Concessão de Crédito(f5);Resultado com Perda Esperada de Outros Ativos Geradores de Renda (f6);Resultado com Perda Esperada (f);Despesa de Juros com Captações (g1);Ajuste de Variação Cambial de Captações (g2);Ajuste de Hedge de Valor Justo de Captações (g3);Outros Resultados de Captações (g4);Despesas de Captações (g);;;;;;;;;;;;;;;;;;;;;;;;
321 SOCIEDADE DE CRÉDITO DIRETO S.A.;54647259;n1;S4;C;2;PORTO ALEGRE;RS;03/2025;5.069;0;0;0;0;145;0;0;0;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;0;0;0;0;0;0;-23;-73;0;0;-7;0;0;0;-103;42;-9;0;33
99PAY INSTITUICAO DE PAGAMENTO S.A.;24313102;n4;S5;C;3;SAO PAULO;SP;03/2025;2.371.960;0;0;9.154;9.154;0;0;39.818;0;39.818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.227;0;0;0;-5.227;0;-4.856;0;38.889;68.750;-66;0;68.684;0;1.145;-6.185;-83.015;0;0;-13.822;0;6.543;-338;-95.672;11.901;-922;-730;10.248
A27 INSTITUICAO DE PAGAMENTOS S/A;35534511;n4;S5;I;2;FLORES DA CUNHA;RS;03/2025;9.731;36;0;0;36;204;0;0;0;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239;-60;0;0;-60;0;101;1;-271;0;0;-23;0;0;0;-194;-14;5;0;-9
A55 SOCIEDADE DE CRÉDITO DIRETO S.A.;48756121;n1;S5;I;2;SAO PAULO;SP;03/2025;3.025;0;0;0;0;0;0;0;65;65;60;0;0;0;60;0;0;0;0;-72;0;0;0;-72;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;-85;0;0;-6;0;0;0;-91;-38;0;0;-38
ABASTECE AI CLUBE AUTOMOBILISTA INSTITUIÇÃO DE PAGAMENTO LTDA.;9515813;n4;S5;I;2;SAO PAULO;SP;03/2025;154.743;872;0;0;872;858;0;0;0;858;0;0;0;0;0;0;0;0;-2;0;0;0;0;-2;0;0;0;0;0;0;0;0;1.728;-678;-86;0;-763;0;0;0;-1.223;0;0;-133;0;105;-1.089;-2.340;-1.376;0;0;-1.376
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;03/2025;61.303.282;212.196;-23.150;0;189.045;847.831;-129.454;18.074;-32.758;703.693;482.258;-796.475;0;20.987;-293.230;0;30.546;271;-18.405;-31.021;0;4.001;-2.535;-47.689;-1.334.859;0;-5.376;-4.995;-1.345.230;0;181.650;274.989;-306.225;214;0;13.208;13.422;8.237;27.084;-123.554;-85.572;-2.534;0;-14.393;40.478;761.942;-31.535;580.152;287.349;98;-55.654;231.793
ABN AMRO;52302;b1;S4;C;3;SAO PAULO;SP;03/2025;3.267.427;23.968;0;0;23.968;19.891;0;1.634;0;21.524;0;0;0;0;0;0;0;0;0;0;0;0;212;212;-8.596;0;0;0;-8.596;0;-45.686;35.626;27.047;0;0;0;0;0;11.217;-7.546;-4.910;0;0;-3.614;0;7.030;-9.860;-7.682;19.365;-9.411;-355;9.599
ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.;37715993;n1;S5;I;2;SAO PAULO;SP;03/2025;83.496;0;0;0;0;1.591;0;0;0;1.592;1.167;0;0;163;1.329;0;0;0;0;-1.606;0;0;0;-1.606;0;0;0;0;0;0;0;328;1.643;77;0;0;77;35;0;-1.242;-1.707;0;0;-162;0;42;-16;-3.050;-1.330;0;0;-1.330
ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO;13140088;n4;S2;C;2;SAO PAULO;SP;03/2025;610.562;0;0;0;0;9.344;0;0;-12;9.332;0;0;0;0;0;0;0;0;0;0;0;0;-129;-129;0;0;0;0;0;0;0;3.500;12.703;-1.902;0;36;-1.866;0;16.797;-20.112;-16.579;0;0;-3.310;0;7.029;-5.145;-21.320;-10.483;0;-2.561;-13.044
ACG INSTITUIÇÃO DE PAGAMENTO S.A.;10868663;n4;S5;I;2;SAO PAULO;SP;03/2025;300.461;0;-534;0;-534;6.340;0;-92;78;6.326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-170;5.622;3.073;-1.311;0;1.762;0;659;-2.745;-2.436;0;0;-806;0;5.909;-4.297;-3.716;3.668;-968;0;2.699
ACQIO ADQUIRENCIA INSTITUICAO DE PAGAMENTO S.A.;33171211;n4;S5;C;3;SAO PAULO;SP;03/2025;121.668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.139;0;1.780;3.919;0;0;-1.387;-1.558;0;0;-515;0;26;-3.314;-6.748;-2.829;0;0;-2.829
ACTIVTRADES CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.;43050917;n2;S4;I;3;FLORIANOPOLIS;SC;03/2025;12.333;147;0;0;147;26;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-358;-186;0;0;0;0;0;5.129;-2.447;-2.400;0;0;-200;0;0;0;81;-104;0;0;-104
ACTUAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;44782130;n2;S4;I;2;BELO HORIZONTE;MG;03/2025;38.552;29;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;1.639;-81;-1.153;0;0;-168;0;55;-5;286;315;0;0;315
ADIQ INSTITUIÇÃO DE PAGAMENTO S.A.;20520298;n4;S3;C;2;BELO HORIZONTE;MG;03/2025;1.096.078;10;0;0;10;5.622;0;48;-45;5.625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.207;0;0;0;-2.207;0;0;-27;3.401;13.619;238;12.611;26.468;0;1.850;-16.159;-38.636;0;0;-7.882;3.438;8.243;-267;-49.412;-19.544;7.382;-1.370;-13.531
ADVANCED CORRETORA DE CÂMBIO LTDA;92856905;n2;S5;I;2;SAO PAULO;SP;03/2025;49.778;0;0;0;0;135;0;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.948;27.083;0;0;0;0;0;4.052;-7.346;-18.110;0;0;-2.100;0;1.157;-29;-22.376;4.707;-1.920;0;2.787
ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.;14796606;n4;S5;I;3;SAO PAULO;SP;03/2025;2.707.898;11.995;0;0;11.995;3.965;0;4.130;0;8.095;0;0;0;0;0;0;0;0;0;0;0;0;-323;-323;0;0;0;0;0;0;0;-15.964;3.803;125.044;0;18.324;143.368;0;51.896;-41.720;-75.346;0;0;-48.373;0;8.459;-1.580;-106.663;40.508;-21.457;0;19.051
AFINZ INSTITUIÇÃO DE PAGAMENTO S.A.;60114865;n4;S4;C;2;BARUERI;SP;03/2025;1.707.823;0;0;0;0;1.686;0;0;0;1.686;0;0;0;0;0;0;3.267;0;0;0;0;0;0;0;-2.427;0;0;0;-2.427;0;0;0;2.526;34.927;-845;2.559;36.641;25.038;3;-2.236;-31.329;0;0;-5.463;-12.350;4.439;-8.234;-30.133;9.034;-7.361;0;1.673
AGÊNCIA DE FOMENTO DE ALAGOAS S.A.;10769660;n1;S4;I;1;MACEIO;AL;03/2025;53.846;0;0;0;0;140;0;0;865;1.006;573;0;0;116;689;0;0;0;0;1.058;0;133;0;1.191;-85;0;0;0;-85;0;0;0;2.801;0;0;0;0;0;179;-1.745;-1.005;0;0;-81;0;369;-337;-2.620;181;0;0;181
AGENCIA DE FOMENTO DE GOIAS S/A;3918382;n1;S4;I;1;GOIANIA;GO;03/2025;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
AGENCIA DE FOMENTO DO AMAPA S.A.;2929977;n1;S4;I;1;MACAPA;AP;03/2025;17.899;0;0;0;0;10;0;0;41;52;402;0;0;195;597;0;0;0;0;482;0;0;0;482;-4;0;0;0;-4;0;0;0;1.127;0;0;0;0;0;1.766;-2.053;-885;0;0;-120;0;0;0;-1.291;-164;0;0;-164
AGÊNCIA DE FOMENTO DO ESTADO DE MATO GROSSO S/A - DESENVOLVE MT;6284531;n1;S4;I;1;CUIABA;MT;03/2025;231.987;0;0;0;0;77;0;0;3.234;3.311;2.256;0;0;975;3.232;0;0;0;0;-4.335;0;0;0;-4.335;-35;0;0;0;-35;0;0;0;2.173;0;0;0;0;5;3.226;-3.877;-1.266;0;0;-494;0;19;-253;-2.640;-467;0;0;-467
AGÊNCIA DE FOMENTO DO ESTADO DE PERNAMBUCO S.A.;13178690;n1;S4;I;1;RECIFE;PE;03/2025;78.442;0;0;0;0;187;0;0;1.520;1.708;898;0;0;282;1.180;0;0;0;0;-413;0;0;0;-413;-119;0;0;0;-119;0;0;0;2.355;0;0;0;0;18;89;-2.458;-755;0;0;-138;0;5;-7;-3.246;-891;0;0;-891
AGENCIA DE FOMENTO DO ESTADO DE RORAIMA S/A;3058464;n1;S4;I;1;BOA VISTA;RR;03/2025;19.256;0;0;0;0;9;0;0;403;411;124;0;0;217;341;0;0;0;0;-212;0;0;0;-212;0;0;0;0;0;0;0;0;540;0;0;0;0;0;10;-1.490;-308;0;0;-25;0;1.835;0;22;562;0;0;562
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;S4;C;1;FLORIANOPOLIS;SC;03/2025;1.699.147;0;0;0;0;1.325;0;0;5.549;6.874;67.183;0;0;9.014;76.197;0;0;0;0;-6.112;0;7;0;-6.106;-13.648;0;0;0;-13.648;0;0;0;63.318;0;0;0;0;423;0;-12.098;-9.251;0;0;-2.995;0;951;-1.147;-24.117;39.201;-20.703;0;18.497
AGÊNCIA DE FOMENTO DO ESTADO DO AMAZONAS S.A. - AFEAM;3183937;n1;S4;I;1;MANAUS;AM;03/2025;273.102;0;0;0;0;3.537;0;-507;2.490;5.519;1.337;0;0;0;1.337;0;0;0;0;-92;0;-31;0;-124;-130;0;0;0;-130;0;0;0;6.602;0;0;0;0;0;19.627;-12.167;-2.599;0;0;-2.243;0;149;-1.580;1.186;7.789;-3.965;0;3.824
