Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BB;49906;b1;S1;C;1;BRASILIA;DF;12/2023;71.377.076;139.436;65.883.808;-485.163;4.224.402;3.802.896;144.942.455;-91.423.440;-4.888.572;-78.633;0;-19.842.940;-116.233.586;28.708.869;8.922.446;4.483.253;-12.616.750;-7.769.556;-3.102.116;5.126.915;10.438.565;-12.816.141;-7.333.383;21.375.486;-5.948;21.369.538;-1.292.020;-2.201.419;17.876.099;0
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;12/2023;68.591.131;421.133;55.055.440;1.462.027;691.534;6.242.584;132.463.849;-80.065.772;-4.330.598;-5.924;0;-17.936.596;-102.338.891;30.124.958;14.180.772;5.435.076;-10.886.726;-13.286.718;-3.620.195;6.312.455;37.715.575;-44.467.963;-8.617.724;21.507.235;-379.619;21.127.616;398.248;-4.601.619;16.924.245;0
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;12/2023;61.799.235;0;28.860.859;943.404;96.327;5.780.992;97.480.816;-50.028.549;-14.589.298;0;0;-8.981.689;-73.599.536;23.881.280;9.552.570;2.694.330;-14.393.259;-4.075.311;-2.182.008;1.849.340;4.824.409;-17.397.605;-19.127.534;4.753.746;-790.805;3.962.940;4.198.201;-1.235.571;6.925.570;0
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;12/2023;53.365.184;1.140.582;35.047.960;756.269;737.288;5.122.205;96.169.488;-62.713.737;-3.164.784;-832.947;0;-18.104.413;-84.815.881;11.353.608;8.383.266;4.861.133;-10.375.336;-11.419.414;-2.498.016;7.023.999;6.925.653;-13.712.509;-10.811.224;542.384;-126.483;415.900;5.996.200;-23.013;6.389.087;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;12/2023;40.533.298;961.539;20.453.919;-590.975;1.291.076;4.443.537;67.092.394;-39.687.849;-4.165.427;-729.269;0;-12.419.985;-57.002.530;10.089.864;6.703.471;2.768.585;-3.725.545;-7.118.920;-1.977.040;2.146.435;16.506.218;-21.386.285;-6.083.081;4.006.783;72.668;4.079.451;1.604.639;-871.285;4.812.805;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2023;10.758.737;0;17.180.483;2.326.518;6.939.180;1.446.586;38.651.504;-19.768.864;-3.243.038;-867;0;-1.039.017;-24.051.786;14.599.717;3.009.820;521.753;-1.427.708;-4.514.566;-772.290;2.790.170;1.990.800;-9.003.612;-7.405.632;7.194.085;21.883;7.215.968;-727.820;-1.138.052;5.350.096;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2023;18.642.628;0;8.678.950;-241.363;24.436;17.921;27.122.572;-3.244.758;-15.156.353;0;0;1.729.666;-16.671.444;10.451.128;827.031;0;-760.556;-131.614;-451.166;3.167.411;201.628;-1.004.172;1.848.562;12.299.689;27.870;12.327.559;227.324;-154.959;12.399.924;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;12/2023;8.526.522;422.519;7.882.389;-490.210;165.196;555.041;17.061.456;-11.392.418;-828.434;-286.430;0;-263.367;-12.770.649;4.290.807;919.635;299.892;-1.934.931;-1.519.445;-346.182;613.956;3.604.726;-3.752.558;-2.114.907;2.175.899;-30.734;2.145.166;-214.196;-8.363;1.922.606;0
NUBANK;52058;n1;S3;C;2;SAO PAULO;SP;12/2023;13.176.268;0;2.167.499;5.916;0;1.421.768;16.771.451;-4.771.747;0;0;-1;-5.284.594;-10.056.342;6.715.109;16.819;3.115;-356.946;-1.505.535;-601.825;4.168;1.655.778;-661.121;-1.445.548;5.269.561;9;5.269.570;-1.994.413;-5.932;3.269.225;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;12/2023;8.136.828;11.871;2.386.623;-231.436;39.960;133.738;10.477.583;-5.975.484;-374.985;-9.974;0;-2.010.258;-8.370.702;2.106.881;275.110;509.182;-736.560;-1.113.471;-274.408;210.907;758.847;-1.324.800;-1.695.192;411.689;16.204;427.893;262.819;-104.899;585.813;0
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2023;1.477.952;0;7.958.832;336.823;178.047;103.645;10.055.300;-7.836.130;-113.431;0;0;-268.936;-8.218.497;1.836.802;2.692.183;548.114;-1.022.490;-2.725.886;-347.553;452.573;386.536;-1.043.698;-1.060.222;776.581;4.478;781.059;213.394;-711.256;283.197;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;C;2;PORTO ALEGRE;RS;12/2023;4.431.055;0;3.737.536;-28.203;55.344;205.051;8.400.783;-6.541.266;-948.339;0;0;2.550;-7.487.055;913.728;46.031;2.636;-60.496;-840.365;-56.931;6.091;263.306;-267.218;-906.947;6.781;-272;6.509;61.478;-6.434;61.554;0
