Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;12/2024;2.732.287.752;1.023.792.028;2.520.473.573;1.942.032.192;211.814.179;20.970.049;227.601.819;16,51%;18,50%;2.045;1.115
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;12/2024;2.409.480.977;1.100.566.419;2.227.391.390;1.890.004.907;182.089.587;17.942.942;184.158.129;13,75%;15,55%;4.006;504
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;12/2024;2.026.122.679;1.237.255.389;1.921.779.929;1.732.125.607;104.342.750;7.311.709;136.184.106;16,57%;9,46%;3.261;918
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;12/2024;1.718.892.235;719.192.299;1.557.235.447;1.317.647.273;161.656.788;10.175.381;149.109.173;14,78%;25,18%;2.332;916
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;12/2024;1.369.785.601;549.931.161;1.270.717.649;928.987.461;99.067.952;7.086.344;101.051.217;14,28%;19,21%;2.455;1.496
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2024;840.824.264;339.427.476;682.359.819;164.688.050;158.464.445;13.052.660;191.102.900;28,24%;1,20%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2024;611.379.876;156.471.496;547.886.528;396.214.760;63.493.348;6.192.330;71.663.405;15,71%;33,85%;66;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;12/2024;295.509.569;112.849.312;274.015.349;218.778.559;21.494.220;1.945.525;29.786.297;17,65%;23,75%;179;6
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;12/2024;279.908.585;29.602.791;269.080.379;191.405.136;10.828.205;574.452;10.212.052;11,55%;42,44%;14;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;12/2024;248.337.461;123.267.739;229.153.951;156.640.847;19.183.510;5.443.444;22.408.545;18,08%;NA%;6;0
